 ./electrum-meowcoin-v2.1.0-24-gf18eaa7c3-dirty-x86_64.AppImage --oneserver --server meowelectrum2.testtopper.biz:50002:s -v 
 79.83 | I | blockchain.Blockchain | LWMA: height=1622927, algo=scrypt, found=26/91, need more headers
 79.83 | I | blockchain.Blockchain | LWMA: height=1622928, detected algo=meowpow from header
 79.83 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.83 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.83 | I | blockchain.Blockchain | LWMA: height=1622928, algo=meowpow, found=21/91, need more headers
 79.83 | I | blockchain.Blockchain | LWMA: height=1622929, detected algo=meowpow from header
 79.83 | I | blockchain | get_block_algo: h=1622881, version=0x30090000, bit8=False, is_auxpow=False, algo=meowpow
 79.83 | I | blockchain | get_block_algo: h=1622880, version=0x30090100, bit8=True, is_auxpow=True, algo=scrypt
 79.83 | I | blockchain.Blockchain | LWMA: height=1622929, algo=meowpow, found=22/91, need more headers
 79.83 | I | blockchain.Blockchain | LWMA: height=1622930, detected algo=scrypt from header
